Municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RIVADAVIA,17.143,16.430,16.515,16.589,16.663,16.746,16.826,16.904,16.978,17.050,17.119,17.184,19.849,17.307,17.366,17.421
ROJAS,23.432,23.705,23.779,23.852,23.924,23.995,24.065,24.134,24.203,24.269,24.336,24.401,25.627,24.529,24.591,24.652
ROQUE P REZ,12.513,12.535,12.692,12.848,13.000,13.151,13.298,13.444,13.587,13.726,13.863,13.998,13.977,14.259,14.386,14.511
SAAVEDRA,20.749,21.028,21.135,21.242,21.346,21.449,21.551,21.651,21.750,21.847,21.943,22.037,22.537,22.221,22.311,22.400
SALADILLO,32.103,32.627,32.936,33.241,33.542,33.839,34.131,34.420,34.705,34.985,35.261,35.533,35.656,36.066,36.326,36.583
SALLIQUEL ,8.644,8.721,8.730,8.740,8.750,8.760,8.769,8.779,8.789,8.799,8.810,8.819,9.427,8.840,8.850,8.860
SALTO,32.653,33.260,33.676,34.087,34.494,34.894,35.288,35.678,36.061,36.440,36.812,37.179,39.425,37.897,38.248,38.594
SAN ANDR S DE GILES,23.027,23.440,23.709,23.976,24.240,24.500,24.755,25.008,25.257,25.502,25.744,25.981,26.510,26.448,26.675,26.899
SAN ANTONIO DE ARECO,23.138,23.504,23.708,23.910,24.111,24.307,24.501,24.693,24.882,25.068,25.251,25.431,26.897,25.785,25.957,26.128
SAN CAYETANO,8.399,8.503,8.537,8.571,8.605,8.638,8.671,8.704,8.734,8.766,8.797,8.827,8.994,8.887,8.915,8.945
SAN FERNANDO,163.240,165.554,166.646,167.726,168.793,169.844,170.880,171.902,172.911,173.904,174.883,175.845,171.616,177.731,178.654,179.563
SAN ISIDRO,292.878,295.428,294.992,294.597,294.215,293.848,293.496,293.157,292.831,292.520,292.224,291.963,297.282,291.448,291.276,291.097
SAN MIGUEL,276.190,280.822,283.603,286.386,289.135,291.845,294.370,296.861,299.319,301.740,304.122,306.469,328.835,311.065,313.312,315.526
SAN NICOL S,145.857,147.855,148.727,149.589,150.441,151.279,152.106,152.922,153.728,154.520,155.301,156.069,167.824,157.575,158.311,159.037
SAN PEDRO,59.036,59.911,60.352,60.788,61.219,61.644,62.061,62.474,62.881,63.283,63.677,64.066,68.613,64.827,65.200,65.567
SAN VICENTE,59.478,61.374,63.222,65.051,66.856,68.634,70.388,72.118,73.825,75.506,77.161,78.791,98.215,81.983,83.544,85.082
SUIPACHA,10.081,10.280,10.424,10.567,10.707,10.846,10.983,11.117,11.250,11.382,11.510,11.637,11.786,11.886,12.008,12.128
TANDIL,123.871,126.170,127.689,129.214,130.718,132.199,133.659,135.101,136.522,137.922,139.300,140.657,145.575,143.314,144.614,145.893
TAPALQU ,9.178,9.330,9.421,9.510,9.598,9.686,9.772,9.856,9.940,10.022,10.103,10.183,10.783,10.340,10.416,10.491
TIGRE,376.381,386.131,395.623,404.649,413.442,422.108,430.660,438.906,447.040,455.056,462.998,470.776,446.949,485.999,493.467,500.615
TORDILLO,1.764,1.783,1.785,1.788,1.791,1.794,1.796,1.799,1.801,1.804,1.807,1.809,2.542,1.814,1.816,1.818
TORNQUIST,12.723,12.929,13.048,13.165,13.281,13.395,13.507,13.619,13.728,13.836,13.942,14.047,14.810,14.251,14.352,14.450
TRENQUE LAUQUEN,43.021,43.676,44.025,44.369,44.708,45.043,45.373,45.699,46.019,46.336,46.648,46.954,49.309,47.554,47.849,48.137
TRES ARROYOS,57.110,57.502,57.510,57.520,57.533,57.543,57.556,57.572,57.590,57.611,57.634,57.660,62.426,57.720,57.754,57.789
TRES DE FEBRERO,340.071,343.441,343.537,343.617,343.701,343.792,343.877,343.917,343.961,344.011,344.067,344.117,364.176,344.221,344.296,344.354
TRES LOMAS,8.700,8.471,8.508,8.562,8.600,8.646,8.686,8.726,8.764,8.801,8.837,8.872,9.164,8.939,8.971,9.002
VICENTE L PEZ,269.420,271.677,271.078,270.598,270.139,269.705,269.294,268.897,268.509,268.064,267.655,267.257,282.281,266.538,266.203,265.885
VILLA GESELL,31.730,32.499,33.147,33.788,34.421,35.044,35.660,36.266,36.865,37.454,38.034,38.606,37.463,39.726,40.273,40.812
VILLARINO,31.014,31.710,32.251,32.784,33.312,33.830,34.341,34.847,35.344,35.834,36.315,36.790,32.717,37.719,38.172,38.619
Z RATE,114.269,116.345,117.720,119.081,120.425,121.748,123.054,124.342,125.613,126.865,128.096,129.309,132.221,131.686,132.848,133.993
