Periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2015;2015;Alberti;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2015;2015;Alberti;Total de víctimas de lesiones dolosas;25;;;;;;;;;
1/1/2015;2015;Alberti;Total de víctimas de otros delitos contra la integridad sexual;8;;;;;;;;;
1/1/2015;2015;Alberti;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2016;2016;Alberti;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2016;2016;Alberti;Total de víctimas de lesiones dolosas;10;;;;;;;;;
1/1/2016;2016;Alberti;Total de víctimas de otros delitos contra la integridad sexual;1;;;;;;;;;
1/1/2016;2016;Alberti;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2017;2017;Alberti;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2017;2017;Alberti;Total de víctimas de lesiones dolosas;11;;;;;;;;;
1/1/2017;2017;Alberti;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2017;2017;Alberti;Total de víctimas de violaciones;3;;;;;;;;;
1/1/2018;2018;Alberti;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2018;2018;Alberti;Total de víctimas de lesiones dolosas;13;;;;;;;;;
1/1/2018;2018;Alberti;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2018;2018;Alberti;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2019;2019;Alberti;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2019;2019;Alberti;Total de víctimas de lesiones dolosas;13;;;;;;;;;
1/1/2019;2019;Alberti;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2019;2019;Alberti;Total de víctimas de violaciones;6;;;;;;;;;
1/1/2020;2020;Alberti;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2020;2020;Alberti;Total de víctimas de lesiones dolosas;16;;;;;;;;;
1/1/2020;2020;Alberti;Total de víctimas de otros delitos contra la integridad sexual;3;;;;;;;;;
1/1/2020;2020;Alberti;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2021;2021;Alberti;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2021;2021;Alberti;Total de víctimas de lesiones dolosas;26;;;;;;;;;
1/1/2021;2021;Alberti;Total de víctimas de otros delitos contra la integridad sexual;6;;;;;;;;;
1/1/2021;2021;Alberti;Total de víctimas de violaciones;2;;;;;;;;;
1/1/2014;2014;Almirante Brown;Total de víctimas de homicidios dolosos;63;;;;;;;;;
1/1/2014;2014;Almirante Brown;Total de víctimas de lesiones dolosas;2978;;;;;;;;;
1/1/2014;2014;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;303;;;;;;;;;
1/1/2014;2014;Almirante Brown;Total de víctimas de violaciones;20;;;;;;;;;
1/1/2015;2015;Almirante Brown;Total de víctimas de homicidios dolosos;43;;;;;;;;;
1/1/2015;2015;Almirante Brown;Total de víctimas de lesiones dolosas;2722;;;;;;;;;
1/1/2015;2015;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;264;;;;;;;;;
1/1/2015;2015;Almirante Brown;Total de víctimas de violaciones;5;;;;;;;;;
1/1/2016;2016;Almirante Brown;Total de víctimas de homicidios dolosos;54;;;;;;;;;
1/1/2016;2016;Almirante Brown;Total de víctimas de lesiones dolosas;1052;;;;;;;;;
1/1/2016;2016;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;77;;;;;;;;;
1/1/2016;2016;Almirante Brown;Total de víctimas de violaciones;32;;;;;;;;;
1/1/2017;2017;Almirante Brown;Total de víctimas de homicidios dolosos;45;;;;;;;;;
1/1/2017;2017;Almirante Brown;Total de víctimas de lesiones dolosas;1042;;;;;;;;;
1/1/2017;2017;Almirante Brown;Total de víctimas de otros delitos contra la integridad sexual;37;;;;;;;;;
