WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono,Representa
"POINT (-60.25519436 -34.29463675)",Comisaría,Ministerio de Seguridad,EST.POL.COM.SALTO,ALVEAR 44,Salto,02474-422474 / 422100,COMISARIO PAHUASI JUSTO GERMAN
"POINT (-58.0365926 -34.90889071)",Comisaría,Ministerio de Seguridad,SUBCRIA.GORINA,140 BIS ENTRE 492 Y 501,La Plata,2214848037,
"POINT (-58.31540785 -35.51653727)",Comisaría,Ministerio de Seguridad,CRIA.MUJER Y FLIA.GRAL.PAZ,CAMPOMAR 2944,General Paz,,SUBCOMISARIO ALVAREZ NATALIA MARIA
"POINT (-58.69220602 -38.56144269)",Comisaría,Ministerio de Seguridad,SUBCRIA.J.N.FERNANDEZ,26 1759,Necochea,2264498204,SUBCOMISARIO REYNOSO LUCAS IVAN
"POINT (-60.47922691 -34.64945031)",Comisaría,Ministerio de Seguridad,,9 DE JULIO 646,Chacabuco,2352491513,
"POINT (-61.54734916 -34.5001564)",Comisaría,Ministerio de Seguridad,SUBCRIA.L.N.ALEM,LAS HERAS 446,Leandro N. Alem,2364491022,SUBCOMISARIO MONTIEL DIEGO MIGUEL
"POINT (-56.92844432 -37.15773946)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PINAMAR 4TA-CARILO,RUTA 11 Y KM 403,Pinamar,02254-470537/491213,COMISARIO MORENO MIGUEL ALFREDO
"POINT (-56.98813108 -37.25743672)",Comisaría,Ministerio de Seguridad,EST.POL.COM.VILLA GESELL 4TA,112 Y CIRCUNVALACION,Villa Gesell,2255452780,SUBCOMISARIO FERREYRA ROBERTO HECTOR
"POINT (-57.543168 -38.027136)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 9NA,ALMAFUERTE 757 - GENERAL PUEYRREDON,General Pueyrredón,0223-4513447/ 9571,COMISARIO RUIZ GUSTAVO VICENTE
"POINT (-57.54888 -38.011996)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 2DA,CASTELLI 2024 - GENERAL PUEYRREDON,General Pueyrredón,0223-4949851/4949861,SUBCOMISARIO MORAN CARLOS ARIEL
"POINT (-57.551897 -38.040437)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 3RA,PADRE DUTTO 535 - GENERAL PUEYRREDON,General Pueyrredón,0223-4802620/2722,
"POINT (-57.679857 -36.313232)",Comisaría,Ministerio de Seguridad,CRIA.DOLORES,QUADRI Y ALBERDI,Dolores,02245-446213,COMISARIO MONTENEGRO RODOLFO AGUSTIN
