barrio,ingresos_totales,anio
PALERMO,10000,2019
BALVANERA,13000,2019
SAN CRISTOBAL,13000,2019
BALVANERA,27000,2019
SAN CRISTOBAL,27000,2019
RECOLETA,29000,2019
RECOLETA,16600,2019
RECOLETA,4600,2019
RECOLETA,2900,2019
RECOLETA,12000,2019
RECOLETA,32000,2019
RECOLETA,0,2019
RECOLETA,19000,2019
RECOLETA,0,2019
RECOLETA,0,2019
RECOLETA,0,2019
ALMAGRO,14000,2019
BOEDO,14000,2019
CONSTITUCION,20000,2019
MONSERRAT,20000,2019
PUERTO MADERO,20000,2019
RETIRO,20000,2019
SAN NICOLAS,20000,2019
SAN TELMO,20000,2019
RECOLETA,50000,2019
RECOLETA,142000,2019
RECOLETA,25000,2019
RECOLETA,58000,2019
BARRACAS,1500,2019
BOCA,1500,2019
NUEVA POMPEYA,1500,2019
PARQUE PATRICIOS,1500,2019
BARRACAS,114000,2019
BOCA,114000,2019
NUEVA POMPEYA,114000,2019
PARQUE PATRICIOS,114000,2019
RECOLETA,40000,2019
BALVANERA,15000,2019
SAN CRISTOBAL,15000,2019
PALERMO,20000,2019
PALERMO,20000,2019
PALERMO,16000,2019
RECOLETA,18000,2019
RECOLETA,6000,2019
CONSTITUCION,85000,2019
MONSERRAT,85000,2019
PUERTO MADERO,85000,2019
RETIRO,85000,2019
SAN NICOLAS,85000,2019
SAN TELMO,85000,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
PALERMO,20000,2019
CONSTITUCION,12400,2019
MONSERRAT,12400,2019
PUERTO MADERO,12400,2019
RETIRO,12400,2019
SAN NICOLAS,12400,2019
SAN TELMO,12400,2019
CONSTITUCION,25000,2019
MONSERRAT,25000,2019
PUERTO MADERO,25000,2019
RETIRO,25000,2019
SAN NICOLAS,25000,2019
SAN TELMO,25000,2019
RECOLETA,7000,2019
RECOLETA,50000,2019
FLORES,9000,2019
PARQUE CHACABUCO,9000,2019
BARRACAS,3200,2019
BOCA,3200,2019
NUEVA POMPEYA,3200,2019
PARQUE PATRICIOS,3200,2019
BARRACAS,5400,2019
BOCA,5400,2019
NUEVA POMPEYA,5400,2019
PARQUE PATRICIOS,5400,2019
BARRACAS,0,2019
BOCA,0,2019
NUEVA POMPEYA,0,2019
PARQUE PATRICIOS,0,2019
BARRACAS,14000,2019
BOCA,14000,2019
NUEVA POMPEYA,14000,2019
PARQUE PATRICIOS,14000,2019
BARRACAS,15000,2019
BOCA,15000,2019
NUEVA POMPEYA,15000,2019
PARQUE PATRICIOS,15000,2019
LINIERS,15000,2019
MATADEROS,15000,2019
PARQUE AVELLANEDA,15000,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
LINIERS,0,2019
MATADEROS,0,2019
PARQUE AVELLANEDA,0,2019
FLORES,24000,2019
PARQUE CHACABUCO,24000,2019
FLORES,4000,2019
PARQUE CHACABUCO,4000,2019
FLORES,10000,2019
PARQUE CHACABUCO,10000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
VILLA DEL PARQUE,25000,2019
VILLA DEVOTO,25000,2019
VILLA GRAL. MITRE,25000,2019
VILLA SANTA RITA,25000,2019
VILLA DEL PARQUE,31200,2019
VILLA DEVOTO,31200,2019
VILLA GRAL. MITRE,31200,2019
VILLA SANTA RITA,31200,2019
VILLA DEL PARQUE,0,2019
VILLA DEVOTO,0,2019
VILLA GRAL. MITRE,0,2019
VILLA SANTA RITA,0,2019
CONSTITUCION,2500,2019
MONSERRAT,2500,2019
PUERTO MADERO,2500,2019
RETIRO,2500,2019
SAN NICOLAS,2500,2019
