subtipo,barrio,mes,anio,count
Robo total,PALERMO,JULIO,2021,340
Robo total,PALERMO,JULIO,2019,340
Robo total,PALERMO,FEBRERO,2023,340
Hurto total,BALVANERA,NOVIEMBRE,2016,339
Robo total,BALVANERA,FEBRERO,2016,339
Robo total,FLORES,ENERO,2016,339
Robo total,BALVANERA,ENERO,2023,339
Robo total,FLORES,MAYO,2018,339
Hurto total,SAN NICOLAS,JULIO,2019,338
Robo total,BALVANERA,ABRIL,2018,338
Hurto total,SAN NICOLAS,MAYO,2019,338
Robo total,BALVANERA,MARZO,2023,337
Hurto total,BALVANERA,MAYO,2019,337
Hurto total,PALERMO,MARZO,2019,337
Robo total,FLORES,FEBRERO,2016,337
Robo total,FLORES,DICIEMBRE,2023,337
Robo total,FLORES,ENERO,2018,337
Robo total,RECOLETA,AGOSTO,2016,337
Robo total,PALERMO,DICIEMBRE,2022,337
Hurto total,BALVANERA,NOVIEMBRE,2019,336
Robo total,BALVANERA,FEBRERO,2020,335
Hurto total,PALERMO,OCTUBRE,2021,334
Robo total,PALERMO,ENERO,2016,334
Robo total,FLORES,AGOSTO,2018,334
Hurto total,RECOLETA,MAYO,2023,333
Hurto total,BALVANERA,AGOSTO,2023,333
Robo total,FLORES,NOVIEMBRE,2023,332
Hurto total,BALVANERA,OCTUBRE,2023,332
Hurto total,BALVANERA,JULIO,2022,332
Robo total,RECOLETA,SEPTIEMBRE,2018,331
Robo total,BALVANERA,FEBRERO,2018,331
Robo total,ALMAGRO,DICIEMBRE,2018,331
Hurto total,BALVANERA,MAYO,2023,330
Robo total,BALVANERA,JUNIO,2018,330
Robo total,PALERMO,AGOSTO,2021,329
Robo total,BALVANERA,JUNIO,2017,329
Robo total,FLORES,OCTUBRE,2016,329
Robo total,BALVANERA,JULIO,2022,329
Robo total,FLORES,FEBRERO,2018,328
Robo total,CABALLITO,OCTUBRE,2016,328
Hurto total,BALVANERA,MARZO,2016,328
Hurto total,BALVANERA,DICIEMBRE,2016,328
Hurto total,PALERMO,OCTUBRE,2016,327
Robo total,FLORES,MARZO,2017,327
Hurto total,SAN NICOLAS,JUNIO,2016,327
Robo total,BALVANERA,MAYO,2023,327
Robo total,BALVANERA,SEPTIEMBRE,2017,326
Robo total,PALERMO,ENERO,2023,326
Robo total,CABALLITO,MARZO,2016,325
Robo total,FLORES,MAYO,2016,325
Hurto total,SAN NICOLAS,DICIEMBRE,2018,324
Hurto total,BALVANERA,AGOSTO,2022,322
Robo total,CABALLITO,NOVIEMBRE,2017,322
Hurto total,PALERMO,DICIEMBRE,2018,322
Robo total,BALVANERA,OCTUBRE,2017,322
Robo total,PALERMO,SEPTIEMBRE,2021,321
Hurto total,PALERMO,DICIEMBRE,2016,320
Robo total,PALERMO,OCTUBRE,2021,320
Robo total,CABALLITO,NOVIEMBRE,2016,320
Hurto total,PALERMO,MAYO,2019,319
Hurto total,PALERMO,JUNIO,2019,319
Hurto total,BALVANERA,JULIO,2016,319
Robo total,FLORES,JUNIO,2016,318
Robo total,RECOLETA,JULIO,2016,318
Robo total,FLORES,AGOSTO,2023,318
Hurto total,PALERMO,ABRIL,2019,318
Hurto total,PALERMO,AGOSTO,2016,318
Robo total,FLORES,OCTUBRE,2023,317
Hurto total,PALERMO,MARZO,2017,317
Hurto total,BALVANERA,OCTUBRE,2019,317
Hurto total,SAN NICOLAS,SEPTIEMBRE,2023,316
Hurto total,BALVANERA,MARZO,2019,316
Robo total,BALVANERA,ENERO,2018,316
Robo total,ALMAGRO,MARZO,2019,316
Robo total,BALVANERA,JULIO,2017,316
Robo total,BALVANERA,JUNIO,2022,315
Robo total,BALVANERA,NOVIEMBRE,2017,315
Amenazas,RETIRO,ENERO,2016,315
Amenazas,BALVANERA,MARZO,2016,315
Robo total,RECOLETA,MARZO,2019,314
Robo total,BALVANERA,FEBRERO,2023,313
Robo total,FLORES,MAYO,2023,313
Robo total,FLORES,AGOSTO,2017,313
Robo total,BALVANERA,ABRIL,2023,313
Hurto total,RECOLETA,JUNIO,2023,312
Robo total,ALMAGRO,ENERO,2019,312
Hurto total,BALVANERA,MAYO,2016,312
Robo total,CABALLITO,SEPTIEMBRE,2016,312
Robo total,ALMAGRO,OCTUBRE,2018,312
Hurto total,PALERMO,JULIO,2017,311
Robo total,CABALLITO,JULIO,2016,310
Robo total,PALERMO,DICIEMBRE,2020,310
Robo total,BALVANERA,AGOSTO,2018,310
