subtipo,barrio,mes,anio,count
Lesiones por siniestros viales,VILLA CRESPO,NOVIEMBRE,2017,17
Lesiones por siniestros viales,RETIRO,OCTUBRE,2016,17
Lesiones Dolosas,BOEDO,ENERO,2020,17
Hurto automotor,MATADEROS,FEBRERO,2023,17
Lesiones por siniestros viales,LINIERS,ABRIL,2023,17
Lesiones por siniestros viales,RETIRO,OCTUBRE,2017,17
Lesiones por siniestros viales,BOEDO,NOVIEMBRE,2018,17
Lesiones por siniestros viales,BOEDO,AGOSTO,2020,17
Robo total,VERSALLES,MARZO,2018,17
Robo total,COGHLAN,JUNIO,2016,17
Lesiones Dolosas,BOEDO,FEBRERO,2018,17
Lesiones Dolosas,BOEDO,FEBRERO,2020,17
Robo total,PATERNAL,AGOSTO,2020,17
Lesiones por siniestros viales,LINIERS,NOVIEMBRE,2021,17
Lesiones por siniestros viales,MONSERRAT,ENERO,2016,17
Lesiones por siniestros viales,VILLA URQUIZA,NOVIEMBRE,2016,17
Lesiones Dolosas,BOCA,ENERO,2023,17
Amenazas,VILLA URQUIZA,DICIEMBRE,2022,17
Lesiones por siniestros viales,NUEVA POMPEYA,ENERO,2020,17
Robo total,AGRONOMIA,JUNIO,2016,17
Amenazas,NUEVA POMPEYA,ABRIL,2017,17
Hurto total,COGHLAN,OCTUBRE,2021,17
Lesiones Dolosas,BELGRANO,SEPTIEMBRE,2023,17
Lesiones por siniestros viales,CHACARITA,MAYO,2023,17
Lesiones por siniestros viales,CHACARITA,MAYO,2022,17
Robo total,PUERTO MADERO,DICIEMBRE,2018,17
Lesiones por siniestros viales,MATADEROS,MARZO,2020,17
Hurto total,COGHLAN,SEPTIEMBRE,2022,17
Robo total,PUERTO MADERO,ENERO,2020,17
Hurto total,COGHLAN,SEPTIEMBRE,2023,17
Robo automotor,ALMAGRO,FEBRERO,2018,17
Amenazas,VILLA URQUIZA,MARZO,2021,17
Lesiones por siniestros viales,CHACARITA,JUNIO,2016,17
Lesiones por siniestros viales,NUEVA POMPEYA,ENERO,2019,17
Lesiones por siniestros viales,MONSERRAT,SEPTIEMBRE,2022,17
Amenazas,VILLA URQUIZA,DICIEMBRE,2020,17
Robo total,AGRONOMIA,ENERO,2016,17
Lesiones Dolosas,BELGRANO,SEPTIEMBRE,2020,17
Robo automotor,CABALLITO,ENERO,2016,17
Lesiones por siniestros viales,NUEVA POMPEYA,JUNIO,2021,17
Robo automotor,VILLA SOLDATI,MARZO,2022,17
Lesiones Dolosas,BELGRANO,MAYO,2022,17
Lesiones Dolosas,BELGRANO,MARZO,2023,17
Lesiones Dolosas,BELGRANO,MARZO,2020,17
Lesiones por siniestros viales,NUEVA POMPEYA,MARZO,2022,17
Lesiones por siniestros viales,NUEVA POMPEYA,FEBRERO,2017,17
Amenazas,VILLA URQUIZA,ABRIL,2022,17
Lesiones por siniestros viales,NUEVA POMPEYA,ENERO,2022,17
Robo total,AGRONOMIA,AGOSTO,2016,17
Robo total,AGRONOMIA,AGOSTO,2019,17
Robo total,AGRONOMIA,AGOSTO,2022,17
Lesiones por siniestros viales,VILLA CRESPO,OCTUBRE,2017,17
Lesiones por siniestros viales,MATADEROS,FEBRERO,2021,17
Lesiones por siniestros viales,MATADEROS,JULIO,2018,17
Hurto total,COGHLAN,ENERO,2023,17
Hurto total,COGHLAN,ENERO,2021,17
Lesiones por siniestros viales,CHACARITA,FEBRERO,2020,17
Hurto automotor,PALERMO,OCTUBRE,2023,17
Lesiones por siniestros viales,MATADEROS,SEPTIEMBRE,2020,17
Hurto total,COGHLAN,ABRIL,2022,17
Robo total,COGHLAN,NOVIEMBRE,2022,17
Hurto automotor,PALERMO,FEBRERO,2022,17
Lesiones por siniestros viales,CABALLITO,MARZO,2020,17
Lesiones por siniestros viales,CONSTITUCION,DICIEMBRE,2022,17
Hurto automotor,PALERMO,OCTUBRE,2020,17
Lesiones por siniestros viales,LINIERS,OCTUBRE,2019,17
Lesiones Dolosas,CHACARITA,ABRIL,2019,17
Robo total,AGRONOMIA,SEPTIEMBRE,2018,17
Lesiones por siniestros viales,CABALLITO,JULIO,2021,17
Lesiones por siniestros viales,CABALLITO,JULIO,2018,17
Lesiones por siniestros viales,MATADEROS,ABRIL,2021,17
Lesiones Dolosas,BARRACAS,JUNIO,2022,17
Robo total,VILLA DEL PARQUE,JUNIO,2020,17
Lesiones por siniestros viales,VILLA URQUIZA,NOVIEMBRE,2017,17
Lesiones por siniestros viales,NUEVA POMPEYA,AGOSTO,2018,17
Lesiones Dolosas,BOEDO,NOVIEMBRE,2018,17
Amenazas,VILLA SOLDATI,ABRIL,2020,17
Hurto automotor,PALERMO,ABRIL,2021,17
Lesiones por siniestros viales,NUEVA POMPEYA,AGOSTO,2022,17
Lesiones Dolosas,BELGRANO,AGOSTO,2018,17
Lesiones por siniestros viales,CHACARITA,ENERO,2019,17
Hurto total,COGHLAN,ENERO,2019,17
Lesiones por siniestros viales,VILLA URQUIZA,NOVIEMBRE,2023,17
Lesiones por siniestros viales,CHACARITA,DICIEMBRE,2021,17
Amenazas,NUEVA POMPEYA,DICIEMBRE,2020,17
Lesiones Dolosas,BOEDO,OCTUBRE,2023,17
Lesiones Dolosas,CHACARITA,ABRIL,2016,17
Lesiones por siniestros viales,CHACARITA,ABRIL,2019,17
Hurto automotor,PALERMO,AGOSTO,2019,17
Hurto automotor,PALERMO,DICIEMBRE,2019,17
Hurto automotor,PALERMO,DICIEMBRE,2021,17
Lesiones Dolosas,BOEDO,OCTUBRE,2019,17
Hurto total,COGHLAN,AGOSTO,2016,17
Hurto total,COGHLAN,ABRIL,2023,17
Lesiones por siniestros viales,VILLA CRESPO,NOVIEMBRE,2019,17
Lesiones Dolosas,RECOLETA,JUNIO,2022,17
Lesiones por siniestros viales,NUÑEZ,FEBRERO,2019,17
Lesiones por siniestros viales,NUÑEZ,JUNIO,2023,17
Lesiones Dolosas,NUÑEZ,MARZO,2016,17
Amenazas,LINIERS,SEPTIEMBRE,2019,17
Amenazas,LINIERS,OCTUBRE,2021,17
Amenazas,CHACARITA,OCTUBRE,2017,17
Amenazas,LINIERS,NOVIEMBRE,2019,17
Hurto automotor,BALVANERA,OCTUBRE,2022,17
Amenazas,LINIERS,MAYO,2019,17
Lesiones por siniestros viales,PARQUE CHACABUCO,SEPTIEMBRE,2022,17
Lesiones Dolosas,VILLA DEL PARQUE,FEBRERO,2016,17
Robo automotor,VILLA LUGANO,MAYO,2018,17
Lesiones Dolosas,VILLA CRESPO,OCTUBRE,2021,17
Robo automotor,MATADEROS,JULIO,2016,17
Lesiones Dolosas,VILLA CRESPO,NOVIEMBRE,2020,17
Robo automotor,MATADEROS,JULIO,2018,17
Lesiones Dolosas,VILLA CRESPO,ENERO,2023,17
Lesiones Dolosas,PARQUE AVELLANEDA,JULIO,2020,17
Lesiones Dolosas,VILLA CRESPO,ENERO,2019,17
Hurto automotor,BARRACAS,FEBRERO,2017,17
Lesiones Dolosas,PARQUE AVELLANEDA,MAYO,2018,17
Lesiones por siniestros viales,VILLA PUEYRREDON,AGOSTO,2023,17
Hurto automotor,BARRACAS,MARZO,2016,17
Lesiones Dolosas,PARQUE AVELLANEDA,SEPTIEMBRE,2023,17
Hurto automotor,BARRACAS,MARZO,2023,17
Lesiones Dolosas,PARQUE CHACABUCO,ABRIL,2022,17
Robo automotor,VILLA LUGANO,JUNIO,2017,17
Lesiones por siniestros viales,VILLA LUGANO,AGOSTO,2018,17
Amenazas,COLEGIALES,JULIO,2019,17
Lesiones Dolosas,VILLA DEVOTO,FEBRERO,2022,17
Lesiones Dolosas,NUÑEZ,JUNIO,2017,17
Lesiones Dolosas,NUÑEZ,JUNIO,2016,17
Hurto automotor,CABALLITO,DICIEMBRE,2018,17
Amenazas,MATADEROS,MARZO,2023,17
Hurto automotor,ALMAGRO,OCTUBRE,2017,17
Amenazas,MATADEROS,JUNIO,2022,17
Amenazas,CHACARITA,ABRIL,2017,17
Amenazas,CHACARITA,DICIEMBRE,2017,17
Lesiones por siniestros viales,PARQUE CHACABUCO,FEBRERO,2020,17
Hurto automotor,CABALLITO,DICIEMBRE,2020,17
Lesiones Dolosas,VILLA GRAL. MITRE,NOVIEMBRE,2019,17
Lesiones Dolosas,VILLA GRAL. MITRE,MAYO,2017,17
Lesiones por siniestros viales,PARQUE CHACABUCO,JUNIO,2018,17
Lesiones por siniestros viales,VILLA DEVOTO,SEPTIEMBRE,2021,17
Hurto automotor,BALVANERA,ABRIL,2019,17
Lesiones por siniestros viales,PARQUE CHACABUCO,MARZO,2023,17
Lesiones por siniestros viales,RECOLETA,FEBRERO,2016,17
Hurto automotor,CABALLITO,ABRIL,2023,17
Lesiones Dolosas,NUEVA POMPEYA,FEBRERO,2023,17
Lesiones Dolosas,VILLA DEVOTO,OCTUBRE,2021,17
Lesiones Dolosas,NUEVA POMPEYA,JULIO,2019,17
Robo automotor,NUEVA POMPEYA,OCTUBRE,2018,17
Lesiones Dolosas,NUEVA POMPEYA,MAYO,2017,17
Lesiones Dolosas,VILLA DEVOTO,OCTUBRE,2016,17
Lesiones Dolosas,NUEVA POMPEYA,OCTUBRE,2017,17
Lesiones Dolosas,VILLA DEVOTO,MARZO,2022,17
Lesiones Dolosas,VILLA DEVOTO,MARZO,2016,17
Lesiones Dolosas,NUÑEZ,ENERO,2017,17
Lesiones Dolosas,NUÑEZ,FEBRERO,2020,17
Amenazas,COLEGIALES,JUNIO,2016,17
Lesiones Dolosas,PARQUE CHACABUCO,FEBRERO,2020,17
Amenazas,CONSTITUCION,ABRIL,2020,17
Lesiones por siniestros viales,PARQUE PATRICIOS,NOVIEMBRE,2018,17
Lesiones Dolosas,PATERNAL,MARZO,2019,17
Robo automotor,VILLA DEVOTO,DICIEMBRE,2016,17
Amenazas,FLORESTA,DICIEMBRE,2018,17
Lesiones Dolosas,SAAVEDRA,SEPTIEMBRE,2016,17
Hurto automotor,BOEDO,ABRIL,2019,17
Amenazas,FLORESTA,ABRIL,2018,17
Lesiones Dolosas,SAAVEDRA,FEBRERO,2018,17
Lesiones Dolosas,SAAVEDRA,ENERO,2022,17
Lesiones Dolosas,SAAVEDRA,ENERO,2019,17
Lesiones por siniestros viales,VILLA LUGANO,MARZO,2017,17
Lesiones Dolosas,SAAVEDRA,AGOSTO,2019,17
Lesiones por siniestros viales,PARQUE PATRICIOS,OCTUBRE,2017,17
Amenazas,FLORES,MARZO,2017,17
Hurto automotor,VILLA LUGANO,NOVIEMBRE,2021,17
Amenazas,CONSTITUCION,JUNIO,2022,17
Hurto automotor,VILLA DEVOTO,AGOSTO,2017,17
Lesiones Dolosas,RETIRO,FEBRERO,2018,17
Hurto automotor,VILLA DEVOTO,DICIEMBRE,2017,17
Lesiones por siniestros viales,VILLA LUGANO,NOVIEMBRE,2020,17
Hurto automotor,VILLA DEVOTO,ENERO,2023,17
Hurto automotor,BELGRANO,NOVIEMBRE,2017,17
Hurto automotor,VILLA DEVOTO,JUNIO,2018,17
Lesiones por siniestros viales,VILLA LUGANO,SEPTIEMBRE,2016,17
Hurto automotor,BELGRANO,OCTUBRE,2017,17
Hurto automotor,BELGRANO,OCTUBRE,2018,17
Hurto automotor,VILLA DEVOTO,MAYO,2018,17
Lesiones Dolosas,SAN CRISTOBAL,FEBRERO,2019,17
Robo automotor,NUEVA POMPEYA,AGOSTO,2016,17
Lesiones por siniestros viales,PARQUE PATRICIOS,AGOSTO,2019,17
Hurto automotor,VILLA CRESPO,MARZO,2021,17
Robo total,MONTE CASTRO,OCTUBRE,2020,17
Hurto automotor,BOEDO,ENERO,2016,17
Lesiones Dolosas,PARQUE CHACABUCO,SEPTIEMBRE,2019,17
Lesiones Dolosas,SAN TELMO,NOVIEMBRE,2021,17
Amenazas,LINIERS,ENERO,2023,17
Amenazas,LINIERS,ENERO,2020,17
Robo automotor,MATADEROS,OCTUBRE,2016,17
Amenazas,LINIERS,DICIEMBRE,2019,17
Lesiones Dolosas,SAN TELMO,NOVIEMBRE,2019,17
Amenazas,FLORESTA,MARZO,2019,17
Amenazas,FLORESTA,JUNIO,2017,17
Hurto automotor,VILLA CRESPO,DICIEMBRE,2022,17
Lesiones Dolosas,PARQUE PATRICIOS,AGOSTO,2023,17
Lesiones Dolosas,SAN CRISTOBAL,MARZO,2020,17
Lesiones Dolosas,SAN NICOLAS,ENERO,2021,17
Lesiones Dolosas,PARQUE PATRICIOS,ENERO,2022,17
Hurto automotor,VILLA CRESPO,MARZO,2023,17
Lesiones por siniestros viales,VILLA LUGANO,JULIO,2017,17
Amenazas,CONSTITUCION,JUNIO,2018,17
Lesiones Dolosas,PARQUE PATRICIOS,JUNIO,2023,17
Lesiones Dolosas,PARQUE PATRICIOS,MARZO,2019,17
Lesiones Dolosas,SAN CRISTOBAL,SEPTIEMBRE,2019,17
Lesiones Dolosas,SAN CRISTOBAL,OCTUBRE,2021,17
Hurto automotor,BELGRANO,FEBRERO,2017,17
Hurto automotor,VILLA CRESPO,SEPTIEMBRE,2016,17
Robo automotor,NUEVA POMPEYA,ABRIL,2016,17
Amenazas,MATADEROS,MAYO,2017,17
Hurto automotor,ALMAGRO,MAYO,2022,17
Lesiones por siniestros viales,VILLA DEVOTO,NOVIEMBRE,2023,17
Lesiones Dolosas,FLORESTA,AGOSTO,2021,17
Amenazas,MONSERRAT,MAYO,2017,17
Robo total,PARQUE CHAS,FEBRERO,2023,17
Amenazas,BALVANERA,DICIEMBRE,2023,17
Robo total,PARQUE CHAS,DICIEMBRE,2019,17
Amenazas,MONSERRAT,FEBRERO,2022,17
Hurto automotor,VILLA URQUIZA,OCTUBRE,2019,17
Amenazas,MONSERRAT,FEBRERO,2018,17
Lesiones por siniestros viales,VILLA SOLDATI,MAYO,2017,17
Lesiones por siniestros viales,ALMAGRO,MARZO,2023,17
Amenazas,MONSERRAT,AGOSTO,2021,17
Amenazas,MONSERRAT,AGOSTO,2019,17
Amenazas,MONSERRAT,AGOSTO,2018,17
Hurto automotor,VILLA URQUIZA,MARZO,2018,17
Amenazas,MONSERRAT,MAYO,2021,17
Lesiones por siniestros viales,ALMAGRO,DICIEMBRE,2022,17
Lesiones por siniestros viales,NUÑEZ,NOVIEMBRE,2020,17
Lesiones por siniestros viales,NUÑEZ,OCTUBRE,2017,17
Hurto automotor,VILLA DEVOTO,NOVIEMBRE,2017,17
Lesiones Dolosas,FLORESTA,MARZO,2020,17
Hurto automotor,FLORESTA,JUNIO,2017,17
Lesiones Dolosas,FLORESTA,MARZO,2021,17
Lesiones Dolosas,VILLA URQUIZA,SEPTIEMBRE,2021,17
Lesiones Dolosas,VILLA URQUIZA,MAYO,2023,17
Lesiones Dolosas,FLORESTA,SEPTIEMBRE,2019,17
Lesiones Dolosas,LINIERS,ABRIL,2018,17
Lesiones Dolosas,VILLA URQUIZA,MARZO,2022,17
Robo total,PARQUE CHAS,JULIO,2016,17
Lesiones por siniestros viales,VILLA URQUIZA,ABRIL,2016,17
Lesiones Dolosas,VILLA URQUIZA,ENERO,2023,17
Lesiones Dolosas,COLEGIALES,NOVIEMBRE,2016,17
Amenazas,ALMAGRO,OCTUBRE,2022,17
Robo total,COGHLAN,ABRIL,2021,17
Robo total,COGHLAN,ABRIL,2019,17
Robo total,COGHLAN,ABRIL,2016,17
Hurto automotor,PARQUE CHACABUCO,ABRIL,2018,17
Lesiones Dolosas,COLEGIALES,ABRIL,2016,17
Robo total,VERSALLES,ABRIL,2022,17
Lesiones por siniestros viales,NUÑEZ,MARZO,2022,17
Hurto total,AGRONOMIA,SEPTIEMBRE,2022,17
Lesiones por siniestros viales,RETIRO,JUNIO,2018,17
Lesiones por siniestros viales,RETIRO,JUNIO,2016,17
Hurto total,AGRONOMIA,OCTUBRE,2021,17
Lesiones por siniestros viales,RETIRO,FEBRERO,2023,17
Lesiones por siniestros viales,BALVANERA,MAYO,2021,17
Lesiones por siniestros viales,BELGRANO,ENERO,2020,17
Lesiones por siniestros viales,RETIRO,FEBRERO,2020,17
Hurto total,AGRONOMIA,FEBRERO,2023,17
Lesiones por siniestros viales,BARRACAS,SEPTIEMBRE,2019,17
Hurto automotor,PARQUE CHACABUCO,NOVIEMBRE,2017,17
Robo total,VILLA SANTA RITA,JUNIO,2020,17
Hurto automotor,LINIERS,ENERO,2022,17
Lesiones por siniestros viales,BARRACAS,JULIO,2021,17
Hurto total,AGRONOMIA,ENERO,2018,17
Lesiones por siniestros viales,BARRACAS,ABRIL,2022,17
Lesiones por siniestros viales,VILLA URQUIZA,ABRIL,2021,17
Amenazas,MONSERRAT,OCTUBRE,2017,17
Lesiones Dolosas,VILLA URQUIZA,FEBRERO,2021,17
Lesiones Dolosas,VILLA URQUIZA,ENERO,2020,17
Lesiones Dolosas,VILLA LURO,NOVIEMBRE,2016,17
Lesiones Dolosas,VILLA PUEYRREDON,ENERO,2016,17
Amenazas,BELGRANO,SEPTIEMBRE,2021,17
Lesiones Dolosas,MATADEROS,MARZO,2023,17
Lesiones Dolosas,MATADEROS,NOVIEMBRE,2021,17
Hurto automotor,SAAVEDRA,OCTUBRE,2017,17
Lesiones Dolosas,MONSERRAT,ABRIL,2021,17
Amenazas,BOCA,JUNIO,2022,17
Amenazas,BOCA,MAYO,2022,17
Lesiones por siniestros viales,PARQUE AVELLANEDA,ENERO,2022,17
Hurto automotor,ALMAGRO,AGOSTO,2021,17
Lesiones por siniestros viales,VILLA DEVOTO,JUNIO,2021,17
Lesiones por siniestros viales,PARQUE AVELLANEDA,ENERO,2023,17
Hurto automotor,COLEGIALES,JULIO,2016,17
Amenazas,BOEDO,FEBRERO,2021,17
Lesiones Dolosas,MATADEROS,MARZO,2019,17
Lesiones por siniestros viales,PARQUE AVELLANEDA,MARZO,2022,17
Amenazas,BOEDO,JULIO,2023,17
Hurto automotor,ALMAGRO,ENERO,2022,17
Lesiones por siniestros viales,VILLA DEVOTO,MAYO,2016,17
Amenazas,BOEDO,MARZO,2023,17
Lesiones por siniestros viales,PARQUE AVELLANEDA,NOVIEMBRE,2020,17
Lesiones Dolosas,MONSERRAT,MAYO,2020,17
Lesiones por siniestros viales,PARQUE AVELLANEDA,OCTUBRE,2017,17
Hurto automotor,ALMAGRO,JUNIO,2019,17
Lesiones Dolosas,MONSERRAT,OCTUBRE,2020,17
Lesiones por siniestros viales,PARQUE AVELLANEDA,SEPTIEMBRE,2017,17
Amenazas,CABALLITO,ABRIL,2018,17
Lesiones Dolosas,MATADEROS,MARZO,2021,17
Lesiones Dolosas,MATADEROS,MARZO,2018,17
Lesiones Dolosas,VILLA URQUIZA,ENERO,2017,17
Hurto automotor,FLORES,ABRIL,2023,17
Lesiones Dolosas,LINIERS,ENERO,2022,17
Hurto automotor,VILLA URQUIZA,AGOSTO,2016,17
Lesiones Dolosas,VILLA URQUIZA,DICIEMBRE,2019,17
Hurto automotor,FLORES,OCTUBRE,2021,17
Hurto automotor,FLORES,OCTUBRE,2020,17
Lesiones Dolosas,LINIERS,MARZO,2023,17
Hurto automotor,FLORES,NOVIEMBRE,2023,17
Hurto automotor,FLORES,MARZO,2022,17
Hurto automotor,FLORES,JUNIO,2021,17
Hurto automotor,FLORES,FEBRERO,2023,17
Hurto automotor,FLORES,FEBRERO,2020,17
Hurto automotor,FLORES,AGOSTO,2021,17
Amenazas,BELGRANO,ABRIL,2019,17
Amenazas,BELGRANO,MAYO,2022,17
Amenazas,BELGRANO,ABRIL,2021,17
Lesiones Dolosas,MATADEROS,AGOSTO,2023,17
Lesiones por siniestros viales,VILLA DEVOTO,DICIEMBRE,2020,17
Lesiones por siniestros viales,PALERMO,JULIO,2018,17
Robo automotor,FLORES,ENERO,2018,17
Robo total,PUERTO MADERO,SEPTIEMBRE,2023,17
Amenazas,ALMAGRO,DICIEMBRE,2023,17
Lesiones por siniestros viales,VILLA DEVOTO,ENERO,2016,17
Lesiones Dolosas,MATADEROS,FEBRERO,2019,17
Amenazas,BELGRANO,JUNIO,2018,17
Hurto automotor,SAAVEDRA,FEBRERO,2019,17
Amenazas,BELGRANO,JUNIO,2021,17
Lesiones por siniestros viales,NUÑEZ,SEPTIEMBRE,2017,17
Hurto automotor,MATADEROS,DICIEMBRE,2021,17
Hurto total,PATERNAL,SEPTIEMBRE,2022,17
Amenazas,VILLA DEVOTO,AGOSTO,2019,17
Hurto total,VILLA SANTA RITA,SEPTIEMBRE,2020,17
Hurto total,VILLA ORTUZAR,MARZO,2022,17
Amenazas,RETIRO,MARZO,2023,17
Hurto total,VILLA RIACHUELO,JUNIO,2019,17
Hurto total,PARQUE PATRICIOS,ABRIL,2020,17
Hurto total,VILLA ORTUZAR,JUNIO,2023,17
Amenazas,SAN NICOLAS,OCTUBRE,2021,17
Amenazas,PARQUE AVELLANEDA,AGOSTO,2021,17
Hurto total,VILLA ORTUZAR,JUNIO,2022,17
Hurto total,PARQUE AVELLANEDA,MARZO,2020,17
Amenazas,PARQUE CHACABUCO,NOVIEMBRE,2019,17
Hurto total,VILLA ORTUZAR,JULIO,2018,17
Amenazas,VILLA DEVOTO,DICIEMBRE,2019,17
Amenazas,VILLA DEVOTO,ENERO,2021,17
Hurto total,VILLA ORTUZAR,FEBRERO,2023,17
Lesiones por siniestros viales,SAAVEDRA,SEPTIEMBRE,2021,17
Amenazas,SAN CRISTOBAL,SEPTIEMBRE,2021,17
Robo total,VILLA REAL,AGOSTO,2023,17
Hurto total,VILLA ORTUZAR,FEBRERO,2018,17
Amenazas,RETIRO,JULIO,2022,17
Amenazas,PARQUE AVELLANEDA,SEPTIEMBRE,2018,17
Amenazas,PARQUE AVELLANEDA,ENERO,2018,17
Hurto total,VILLA ORTUZAR,MAYO,2022,17
Hurto total,VILLA RIACHUELO,MARZO,2019,17
Hurto total,VERSALLES,AGOSTO,2016,17
Hurto total,MONTE CASTRO,DICIEMBRE,2018,17
Amenazas,SAN NICOLAS,MAYO,2023,17
Hurto total,PUERTO MADERO,DICIEMBRE,2023,17
Hurto total,VERSALLES,AGOSTO,2021,17
Hurto total,MONTE CASTRO,FEBRERO,2020,17
Amenazas,RECOLETA,JULIO,2020,17
Amenazas,SAN NICOLAS,NOVIEMBRE,2019,17
Amenazas,SAN NICOLAS,DICIEMBRE,2017,17
Amenazas,RETIRO,SEPTIEMBRE,2020,17
Hurto total,VILLA RIACHUELO,MAYO,2019,17
Amenazas,RETIRO,SEPTIEMBRE,2019,17
Hurto total,VILLA RIACHUELO,MAYO,2018,17
Hurto total,VILLA ORTUZAR,SEPTIEMBRE,2017,17
Hurto total,VILLA ORTUZAR,OCTUBRE,2022,17
Amenazas,PARQUE AVELLANEDA,JULIO,2018,17
Hurto total,VILLA ORTUZAR,OCTUBRE,2018,17
Hurto total,VERSALLES,ENERO,2017,17
Robo total,VILLA RIACHUELO,NOVIEMBRE,2017,17
Amenazas,VILLA CRESPO,JULIO,2022,17
Hurto total,VILLA REAL,ENERO,2022,17
Hurto total,VILLA RIACHUELO,NOVIEMBRE,2020,17
Hurto total,VILLA REAL,OCTUBRE,2016,17
Hurto total,PATERNAL,MARZO,2019,17
Hurto total,PATERNAL,JULIO,2022,17
Lesiones por siniestros viales,SAN NICOLAS,MAYO,2022,17
Amenazas,VELEZ SARSFIELD,DICIEMBRE,2022,17
Amenazas,SAAVEDRA,MAYO,2022,17
Amenazas,VILLA DEVOTO,JUNIO,2022,17
Hurto total,VILLA SANTA RITA,MARZO,2020,17
Hurto total,VILLA REAL,MAYO,2019,17
Hurto total,VERSALLES,SEPTIEMBRE,2016,17
Hurto total,PATERNAL,ENERO,2021,17
Amenazas,VILLA DEVOTO,ENERO,2022,17
Hurto total,RETIRO,JUNIO,2020,17
Robo total,VILLA REAL,OCTUBRE,2021,17
Hurto total,PATERNAL,DICIEMBRE,2021,17
Hurto total,PARQUE CHACABUCO,ABRIL,2020,17
Amenazas,VILLA DEVOTO,MAYO,2021,17
Hurto total,VILLA LURO,MARZO,2020,17
Hurto total,PATERNAL,ABRIL,2022,17
Lesiones por siniestros viales,SAAVEDRA,OCTUBRE,2020,17
Amenazas,RETIRO,AGOSTO,2020,17
Robo total,VILLA REAL,NOVIEMBRE,2019,17
Amenazas,VILLA CRESPO,FEBRERO,2021,17
Amenazas,SAAVEDRA,NOVIEMBRE,2021,17
Robo total,VILLA REAL,SEPTIEMBRE,2022,17
Amenazas,PARQUE CHACABUCO,MARZO,2023,17
Amenazas,SAN CRISTOBAL,ENERO,2019,17
Amenazas,PARQUE CHACABUCO,MARZO,2020,17
Hurto total,VILLA RIACHUELO,AGOSTO,2017,17
Hurto total,RETIRO,MAYO,2020,17
Amenazas,PARQUE PATRICIOS,MAYO,2019,17
Amenazas,SAN CRISTOBAL,OCTUBRE,2021,17
Robo total,VILLA REAL,AGOSTO,2017,17
Amenazas,VILLA CRESPO,JULIO,2019,17
Robo automotor,PARQUE CHACABUCO,FEBRERO,2016,17
Hurto total,VILLA ORTUZAR,AGOSTO,2016,17
Hurto total,VILLA RIACHUELO,ABRIL,2016,17
Hurto total,VILLA REAL,SEPTIEMBRE,2023,17
Lesiones por siniestros viales,SAN NICOLAS,FEBRERO,2019,17
Robo total,COLEGIALES,MAYO,2020,17
Hurto total,PATERNAL,MAYO,2019,17
Hurto total,VILLA ORTUZAR,ABRIL,2018,17
Hurto total,VILLA LURO,DICIEMBRE,2020,17
Amenazas,RETIRO,DICIEMBRE,2022,17
Hurto total,PARQUE CHAS,MAYO,2018,17
Hurto total,MATADEROS,MAYO,2020,17
Robo total,VILLA REAL,MARZO,2021,17
Amenazas,PARQUE PATRICIOS,ABRIL,2019,17
Amenazas,RECOLETA,ABRIL,2018,17
Robo total,VILLA RIACHUELO,JULIO,2022,17
Amenazas,VILLA CRESPO,SEPTIEMBRE,2023,17
Amenazas,SAN NICOLAS,JULIO,2023,17
Hurto total,PUERTO MADERO,MAYO,2022,17
Robo total,VILLA RIACHUELO,JULIO,2023,17
Hurto total,PARQUE CHAS,AGOSTO,2023,17
Robo total,VILLA REAL,MARZO,2018,17
Amenazas,SAAVEDRA,SEPTIEMBRE,2022,17
Amenazas,SAAVEDRA,AGOSTO,2017,17
Lesiones por siniestros viales,SAN NICOLAS,JUNIO,2022,17
Lesiones por siniestros viales,SAN NICOLAS,ENERO,2016,17
Amenazas,PARQUE PATRICIOS,NOVIEMBRE,2022,17
Hurto total,MONTE CASTRO,AGOSTO,2020,17
Robo total,VILLA REAL,ENERO,2023,17
Hurto total,PARQUE CHAS,DICIEMBRE,2021,17
Amenazas,VELEZ SARSFIELD,OCTUBRE,2019,17
Amenazas,PARQUE CHACABUCO,ENERO,2019,17
Hurto total,PARQUE CHAS,ENERO,2020,17
Amenazas,VELEZ SARSFIELD,SEPTIEMBRE,2022,17
Amenazas,PARQUE AVELLANEDA,SEPTIEMBRE,2022,17
Hurto total,VELEZ SARSFIELD,FEBRERO,2016,17
Hurto total,VILLA URQUIZA,ABRIL,2020,16
Lesiones Dolosas,BOEDO,ENERO,2022,16
Lesiones por siniestros viales,SAN NICOLAS,FEBRERO,2018,16
Amenazas,CHACARITA,NOVIEMBRE,2017,16
Lesiones por siniestros viales,RETIRO,MARZO,2020,16
Amenazas,MATADEROS,FEBRERO,2018,16
Robo total,VERSALLES,NOVIEMBRE,2020,16
Robo automotor,NUEVA POMPEYA,OCTUBRE,2016,16
Amenazas,SAAVEDRA,ENERO,2021,16
Lesiones Dolosas,VILLA DEVOTO,JUNIO,2022,16
Hurto total,PATERNAL,MAYO,2022,16
Robo total,AGRONOMIA,FEBRERO,2022,16
Lesiones Dolosas,MATADEROS,FEBRERO,2021,16
Amenazas,MATADEROS,FEBRERO,2019,16
Amenazas,BOCA,FEBRERO,2017,16
Lesiones Dolosas,VILLA DEVOTO,FEBRERO,2017,16
Lesiones Dolosas,VILLA DEVOTO,FEBRERO,2018,16
