nombre_est,barrio
Centro de Formación Profesional N° 10 Raúl Scalabrini Ortiz (sede) - SEC,SAN NICOLAS
Esc. Normal Superior N° 03 Bernardino Rivadavia (sede),SAN TELMO
Programa Contexto de Encierro,MONTSERRAT
Esc. Integral Interdisciplinaria N° 04,BOCA
Centro de Formación Profesional N° 28 Ministro José María Freire (sede) - SUTERH,MONTSERRAT
Centro Educativo de Nivel Primario N° 15 - SUTERH,MONTSERRAT
Inst. Privado de Educación Técnica y Formación Profesional 13,SAN TELMO
Instituto de Formación Técnica Superior N° 33,SAN TELMO
Centro de Formación Profesional N° 27 (anexo) - Instituto Privado 13 de Julio,SAN TELMO
Centro Educativo de Nivel Secundario N° 63,RECOLETA
CENOF Centro AMIA,BALVANERA
"Centro de Alfabetización, Educación Básica y Trabajo N° 07",BOCA
"Centro de Alfabetización, Educación Básica y Trabajo N° 38",BOCA
Esc. de Educación Media N° 02/04° E.Reingreso,BARRACAS
Centro de Actividades Infantiles y Juveniles sede,MONTSERRAT
Primera Infancia Sede,RETIRO
Centro de Actividades Infantiles y Juveniles Club San Telmo,SAN TELMO
Instituto de Formación Técnica Superior N° 17,SAN NICOLAS
Centro Educativo Complementario de Natación N° 05,BARRACAS
Centro de Actividades Infantiles y Juveniles Club Barracas,BARRACAS
INST. SUPERIOR  DE ESTUDIOS JAPONESES,ALMAGRO
Centro Educativo Complementario de Idiomas Extranjeros N° 05,BARRACAS
Esc. Primaria Común N° 01 Estado Plurinacional de Bolivia,BARRACAS
Jardín de Infantes Integral N° 08/05°,PARQUE PATRICIOS
Esc. de Música N° 05,BARRACAS
Esc. Primaria Común N° 03 Bernardo de Irigoyen,BARRACAS
Jardín de Infantes Nucleado A (EPCjs 03/05°),BARRACAS
Esc. Primaria Común N° 04 Cnel. de Marina Tomas Espora,CONSTITUCION
Jardín de Infantes Nucleado B (EPCjs 04/05°),CONSTITUCION
Jardín de Infantes Nucleado B (EPCjs 06/05°) (Sede),CONSTITUCION
Esc. Primaria Común N° 06 Tomás Guido,CONSTITUCION
Esc. Primaria p/Adultos N° 07 Juan de Garay,BARRACAS
Jardín de Infantes Nucleado A (EPCjs 07/05°) (Sede),BARRACAS
Esc. Primaria Común N° 07 Juan de Garay,BARRACAS
Esc. Primaria Común N° 08 Carlos Norberto Vergara,BARRACAS
Centro Educativo de Nivel Secundario N° 75,BARRACAS
Esc. Primaria Común N° 10 Deán Diego Estanislao de Zavaleta,BARRACAS
Bachillerato Popular de Jóvenes y Adultos Villa 21 / 24,BARRACAS
Esc. Primaria p/Adultos N° 11 República de Haití,BARRACAS
UGEE N° 06 Bachillerato Popular de Adultos y Adolescentes 2 de Diciembre,BARRACAS
Esc. Primaria Común N° 13 Fray Mamerto Esquiú,BARRACAS
Jardín de Infantes Común N° 04/05° sede,NUEVA POMPEYA
Esc. Primaria Común N° 14 Provincia de San Luis,NUEVA POMPEYA
Esc. Primaria Común N° 15 Arzobispo Mariano Antonio Espinosa,BARRACAS
Jardín de Infantes Nucleado A (EPCjs 15/05°),BARRACAS
Esc. Primaria p/Adultos N° 16 Sabina Bove de Bozalla,NUEVA POMPEYA
Colegio Nacional de Buenos Aires,MONTSERRAT
Esc. Primaria Común N° 16 Sabina Bove de Bozalla,NUEVA POMPEYA
Esc. Primaria p/Adultos N° 17 Pedro Melitón Ledesma,NUEVA POMPEYA
Esc. Primaria Común N° 17 Pedro Melitón Ledesma,NUEVA POMPEYA
Esc. Primaria Común N° 18 Juan Enrique Pestalozzi,PARQUE PATRICIOS
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 09,PARQUE PATRICIOS
Jardín de Infantes Nucleado B (EPCjc 18/05°),PARQUE PATRICIOS
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 01,PARQUE PATRICIOS
Esc. Primaria Común N° 19 Provincia de Formosa,PARQUE PATRICIOS
Esc. Primaria Común N° 20 Nieves Escalada de Oromi,BARRACAS
Centro de Actividades Infantiles y Juveniles Club Barracas,BARRACAS
CENOF Centro Traful,NUEVA POMPEYA
Esc. Primaria Común N° 23 Lorenzo Anadón,NUEVA POMPEYA
Esc. Primaria Común N° 24 Contraalmirante Martín Guerrico,NUEVA POMPEYA
Esc. Primaria Común N° 25 Marcos Paz,PARQUE PATRICIOS
Esc. Primaria Común N° 26 Brigadier Miguel de Azcuenaga,PARQUE PATRICIOS
Jardín de Infantes Nucleado B (EPCjc 26/05°),PARQUE PATRICIOS
Esc. Primaria Común N° 02 Patricios,PARQUE PATRICIOS
Esc. Primaria p/Adultos N° 27 Manuel de Sarratea,BARRACAS
Escuela Infantil N° 07/05° Padre Daniel de la Sierra,BARRACAS
Escuela Infantil N° 05/05° Maria Eva Duarte de Perón,PARQUE PATRICIOS
Escuela Infantil N° 06/05° Rosario Vera Peñaloza,BARRACAS
Jardín de Infantes Integral N° 01/05° Walt Disney,CONSTITUCION
Jardín de Infantes Integral N° 02/05° Antonino Aberastain,BARRACAS
Esc. Primaria p/Adultos N° 18 Dr. Rafael Herrera Vegas,RECOLETA
Esc. de Comercio N° 18 Reino de Suecia,PARQUE PATRICIOS
Esc. de Educación Media N° 01/05° E.Reingreso Norberto Julio Morresi,PARQUE PATRICIOS
Esc. Primaria Común N° 22 Dr. Rómulo S. Naón,VILLA CRESPO
Primera Infancia Espacio Nocheritos,PARQUE PATRICIOS
Esc. Técnica N° 04 República del Líbano,BARRACAS
Esc. Integral Interdisciplinaria N° 05,PARQUE PATRICIOS
Esc. Técnica N° 10 Fray Luis Beltrán,BARRACAS
Liceo Comercial N° 03 José Manuel Estrada - Anexo,BARRACAS
