nombre,barrio
"CLUB SOCIAL, CULTURAL Y DEPORTIVO BOHEMIOS",Boca
"CLUB SOCIAL, CULTURAL Y DEPORTIVO LARRAZABAL",Liniers
CLUB SOCIAL DEPORTIVO EL TREBOL Y BIBLIOTECA INDEPENDENCIA,Parque Chas
CLUB SOCIAL SPORTIVO DEVOTO,Villa Pueyrredon
CLUB SOCIAL Y CULTURAL EL LUCHADOR,Versalles
CLUB SOCIAL Y CULTURAL GENERAL SAN MARTIN,Liniers
CLUB SOCIAL Y DEPORTIVO AÑASCO,Paternal
CLUB SOCIAL Y DEPORTIVO DEFENSORES DE CHACARITA,Villa Ortuzar
CLUB SOCIAL Y DEPORTIVO ESTRELLA DE MALDONADO,Palermo
CLUB SOCIAL Y DEPORTIVO FLOREAL DE LA PATERNAL,Paternal
CLUB SOCIAL Y DEPORTIVO FLORESTA JUNIORS,Parque Avellaneda
CLUB SOCIAL Y DEPORTIVO GENERAL PUEYRREDON,Flores
CLUB SOCIAL Y DEPORTIVO JUVENTUD DE DEVOTO,Monte Castro
CLUB SOCIAL Y DEPORTIVO LEOPARDI,Villa Luro
CLUB SOCIAL Y DEPORTIVO LIBERAL DE NUEVA CHICAGO,Mataderos
CLUB SOCIAL Y DEPORTIVO NUEVA ESTRELLA,Villa Lugano
CLUB SOCIAL Y DEPORTIVO PINOCHO,"PEDRAZA, MANUELA 5139"
CLUB SOCIAL Y DEPORTIVO SOL DEL PLATA ANEXO BIBLIOTECA BARTOLOME MITRE,Mataderos
CLUB SOCIAL Y DEPORTIVO SOL DE MAYO,Mataderos
CLUB SOCIAL Y DEPORTIVO UNION MARCHIGIANA,Caballito
CLUB SPORTIVO BARRACAS BOLIVAR,Barracas
CLUB SPORTIVO PEREYRA,Barracas
CLUB UNIDOS DE POMPEYA,Nueva Pompeya
CLUB UNIVERSITARIO BUENOS AIRES,Nuñez
CLUB UNIVERSITARIO BUENOS AIRES,Palermo
CLUB UNIVERSITARIO BUENOS AIRES,San Nicolas
CLUB VECINAL Y DEPORTIVO DEFENSORES DE CERVANTES,Monte Castro
CLUB VIENTO NORTE,Saavedra
CLUB VIRGEN DEL CARMEN,Villa Lugano
COLEGIALES,Colegiales
CRESPO JUNIORS,Nueva Pompeya
DAOM,Flores
DARLING,Boca
DEPORTIVO BUENOS AIRES,Flores
DEPORTIVO MORAN,Agronomia
DEPORTIVO PARQUE,Villa Del Parque
DEPROP,Almagro
DEVOTO OESTE ASOCIACION DE FOMENTO Y BIBLIOTECA POPULAR,Villa Devoto
DEVOTO SOCIAL ALLENDE,Villa Devoto
DOMINGO FAUSTINO SARMIENTO,Villa Soldati
EL ALBA,Villa Del Parque
ELEVACION,Villa Soldati
EL IDEAL,Villa Riachuelo
EL TABANO,Coghlan
EL TALAR,Agronomia
ENTRENAR POR LA VIDA,Flores
EROS,Palermo
ESTRELLA DE BOEDO,Boedo
ESTUDIANTES DEL NORTE,Saavedra
EXCURSIONISTAS,Belgrano
EXPRESO DE BARILOCHE,Mataderos
FENIX CLUB,Villa Devoto
FLORES CLUB,Flores
FLORESTA RUGBY CLUB,Parque Avellaneda
FRANJA DE ORO,Nueva Pompeya
FRANJA DE ORO,Nueva Pompeya
FUNDACION NUEVA GENERACION DEL DEPORTE,Villa Luro
FUNDACION NUEVA GENERACION DEL DEPORTE,Boedo
GENERAL LAMADRID,Villa Devoto
GIMNASIO CHACABUCO,Parque Chacabuco
GIOVANNI GENTILE,Velez Sarsfield
GLORIAS ARGENTINAS,Mataderos
GOLF CLUB JOSE JURADO,Villa Lugano
GON,Boedo
GON,Boedo
HARRODS GATH Y CHAVES CLUB,Belgrano
HOMERO MANZI,Parque Chacabuco
IMPERIO JUNIORS,Villa Santa Rita
ISLANDIA,Villa Urquiza
ITALIANO,Villa Soldati
ITALIANO,Caballito
JORGE NEWBERY,Villa Real
JOSE HERNANDEZ,Mataderos
JOVENES DEPORTISTAS - ASOCIACION CIVIL GENERAL SAVIO,Villa Lugano
JUVENTUD DE LA NUEVA ERA,Nueva Pompeya
JUVENTUD DE LINIERS,Liniers
JUVENTUD UNIDA,Barracas
JUVENTUD UNIDA DE VILLA SOLDATI,Villa Soldati
KANAIMA ASOCIACION CIVIL,Almagro
KIMBERLEY,Villa Devoto
LA EMILIANA,Villa Pueyrredon
LA FLORESTA,Floresta
LAURELES ARGENTINOS,Villa Devoto
LAWN TENNIS,Palermo
LIGA AMATEUR DE FUTBOL DE FLORES ASOCIACION CIVIL,Villa Lugano
LINIERS CLUB,Liniers
LOMAS DE LUGANO SOCIAL CLUB,Villa Lugano
LOS AMIGOS DE VILLA LURO,Villa Luro
LUGANO FOOTBALL CLUB,Villa Lugano
LUGANO TENNIS CLUB,Villa Lugano
MADRE DEL PUEBLO,Flores
MANUEL BELGRANO,Saavedra
MARIANO ACOSTA,Parque Avellaneda
MARIANO MORENO,Coghlan
NAUTICO BOUCHARDO,Nuñez
NUESTRO BUENOS AIRES CANBA,Velez Sarsfield
NUEVA CHICAGO,Mataderos
NUEVA CHICAGO,Mataderos
OBRAS SANITARIAS NACION,Nuñez
OBRAS SANITARIAS NACION,Recoleta
ORGANIZACION HEBREA ARGENTINA MACABI,Balvanera
ORGANIZACION INDEPENDIENTE DEL DEPORTE ASOCIACION CIVIL,Villa Devoto
PACIFICO,Villa Del Parque
PALERMO,Palermo
PAMPERO,Villa Lugano
PARQUE DE LOS PATRICIOS,San Cristobal
PARQUE DE LOS PATRICIOS,Parque Patricios
PARQUE TELMO,San Telmo
PEDRO ECHAGUE,Flores
PENACHO AZUL,Villa Urquiza
PEÑAROL ARGENTINO,Parque Chacabuco
PINTITA,Flores
PORTUGUES,Caballito
PREMIER,Caballito
PRO FOMENTO PUEYRREDON,Villa Pueyrredon
RAULIES,Paternal
RESURGIMIENTO,Villa Del Parque
RIESTRA,Villa Soldati
RIESTRA,Nueva Pompeya
RIO DE LA PLATA,Villa Urquiza
SABER,Parque Chas
sacachispa,Liniers
SANTA LUCIA,Barracas
SAN TELMO,San Telmo
SAN TELMO,San Telmo
SAN TELMO,San Telmo
SAN TELMO,San Telmo
SANTIAGO DE LINIERS,Liniers
SOCIAL CULTURAL Y DEPORTIVO FRIULANA,Villa Devoto
SOCIAL HABANA,Villa Devoto
SOCIAL Y DEPORTIVO VILLA MODELO,Parque Chas
SOCIEDAD HEBRAICA ARGENTINA,Balvanera
SPORTING SOCIAL CLUB,Villa Ortuzar
STENTOR,Villa Luro
SUNDERLAND CLUB,Villa Urquiza
TELEGRAFO Y CRISOL UNIDOS,Parque Chacabuco
TENIS CLUB ARGENTINO,Palermo
test,Liniers
"TIERRA, TECHO Y TRABAJO",Chacarita
TIRO FEDERAL ARGENTINO,Nuñez
TRIGLAV,Villa Real
UNION ARGENTINA DE SORDOMUDOS  UAS,Villa Santa Rita
UNION GENERAL ARMENIA DE CULTURA FISICA - UGAB,Palermo
VASCO ARGENTINO GURE ECHEA,Balvanera
VILLA CERINI,Saavedra
VILLA GENERAL MITRE,Villa Gral. Mitre
VILLA LURO NORTE,Villa Luro
VILLA MALCOLM,Villa Crespo
VILLA REAL,Villa Real
VILLA SAHORES,Villa Del Parque
VOLUNTARIOS SIN FRONTERAS,Retiro
VOLUNTARIOS SIN FRONTERAS,San Nicolas
YUPANQUI,Villa Lugano
